month,day,Dry Bulb Temp(avg),Dry Bulb Temp(low),Dry Bulb Temp(high)
12,6,67.557495,53.24,83.3
12,7,66.89751,54.68,82.22
12,8,64.9925,48.92,81.5
12,9,64.0625,48.74,82.04
12,10,63.619995,48.2,79.880005
12,11,65.465004,49.64,83.84
12,12,66.4475,51.26,83.3
12,13,65.817505,51.98,82.04
12,14,65.495,53.24,79.880005
12,15,64.557495,51.440002,78.98
12,16,62.7125,47.84,78.8
12,17,62.082497,47.48,78.08
12,18,62.33,47.48,78.98
12,19,63.717503,47.3,82.04
12,20,66.0125,48.559998,83.84
12,21,68.4125,52.16,84.020004
12,22,69.17,55.76,85.28
12,23,69.875,58.46,84.560005
12,24,68.27,55.76,80.06
12,25,67.8725,56.12,80.96
12,26,67.7,56.12,77.36
12,27,67.159996,55.58,77.36
12,28,68.225,58.1,80.78
12,29,70.28,55.04,85.64
12,30,70.947495,54.86,84.020004
12,31,72.635,60.08,84.560005
